Cost,Purchases,Importance,Discount,Weight (gram),Late,Reorder_purchases,Shipment_Flight,Shipment_Road,Shipment_Ship,Warehouse_A,Warehouse_B,Warehouse_C,Warehouse_D,Warehouse_F
0.37850467289719625,0.125,0,0.671875,0.03389335281227174,1.0,1,1,0,0,0,0,0,1,0
0.5607476635514018,0.0,0,0.90625,0.3048940832724616,1.0,0,1,0,0,0,0,0,0,1
0.40654205607476634,0.25,0,0.734375,0.3466764061358656,1.0,1,1,0,0,1,0,0,0,0
0.3738317757009346,0.25,1,0.140625,0.02571219868517166,1.0,1,1,0,0,0,1,0,0,0
0.4112149532710281,0.125,1,0.703125,0.216654492330168,1.0,1,1,0,0,0,0,1,0,0
0.30841121495327106,0.125,1,0.171875,0.06077428780131483,1.0,1,1,0,0,0,0,0,0,1
0.7196261682242991,0.125,0,0.03125,0.20014609203798392,1.0,1,1,0,0,0,0,0,1,0
0.6401869158878505,0.0,0,0.734375,0.2634039444850256,1.0,0,1,0,0,0,0,0,0,1
0.25233644859813087,0.125,0,0.15625,0.12563915266617967,1.0,1,1,0,0,1,0,0,0,0
0.31775700934579443,0.125,1,0.4375,0.027173119065010964,1.0,1,1,0,0,0,1,0,0,0
0.43457943925233644,0.0,1,0.171875,0.27567567567567564,1.0,0,1,0,0,0,0,1,0,0
0.6355140186915887,0.125,1,0.484375,0.32899926953981007,1.0,1,1,0,0,0,0,0,0,1
0.47663551401869153,0.125,1,0.0,0.3894813732651571,1.0,1,1,0,0,0,0,0,1,0
0.836448598130841,0.125,2,0.4375,0.23389335281227172,1.0,1,1,0,0,0,0,0,0,1
0.26168224299065423,0.125,0,0.65625,0.0011687363038714316,1.0,1,1,0,0,1,0,0,0,0
0.6121495327102803,0.125,0,0.6875,0.24923301680058438,1.0,1,1,0,0,0,1,0,0,0
0.21962616822429903,0.0,1,0.078125,0.02819576333089846,1.0,0,1,0,0,0,0,1,0,0
0.6121495327102803,0.125,1,0.546875,0.4311176040905771,1.0,1,0,0,1,0,0,0,0,1
0.6682242990654205,0.125,2,0.265625,0.21826150474799125,1.0,1,0,0,1,0,0,0,1,0
0.2289719626168224,0.125,1,0.6875,0.00847333820306792,1.0,1,0,0,1,0,0,0,0,1
0.3037383177570093,0.0,1,0.578125,0.07596785975164352,1.0,0,0,0,1,1,0,0,0,0
0.6355140186915887,0.25,1,0.78125,0.2772826880934989,1.0,1,0,0,1,0,1,0,0,0
0.28037383177570097,0.0,0,0.015625,0.10942293644996345,1.0,0,0,0,1,0,0,1,0,0
0.5373831775700935,0.125,2,0.171875,0.4267348429510591,1.0,1,0,0,1,0,0,0,0,1
0.7242990654205607,0.0,1,0.421875,0.37399561723886043,1.0,0,0,0,1,0,0,0,1,0
0.602803738317757,0.25,0,0.4375,0.3644996347699051,1.0,1,0,0,1,0,0,0,0,1
0.3551401869158879,0.125,2,0.359375,0.009495982468955444,1.0,1,0,0,1,1,0,0,0,0
